SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
324916,0,Cash loans,F,N,Y,2,202500.0,331632.0,34951.5,315000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-13497,-773,-3518.0,-4568,,1,1,0,1,0,0,,4.0,2,2,TUESDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.4677216786322657,0.4965577936929441,0.7016957740576931,0.0247,,0.9906,,,,0.1034,0.0833,,,,,,,0.0252,,0.9906,,,,0.1034,0.0833,,,,,,,0.025,,0.9906,,,,0.1034,0.0833,,,,,,,,block of flats,0.0194,"Stone, brick",No,4.0,1.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
295212,0,Cash loans,M,N,N,0,135000.0,677664.0,35896.5,585000.0,Unaccompanied,Working,Higher education,Married,With parents,0.010032,-9508,-571,-3123.0,-2193,,1,1,0,1,0,1,,2.0,2,2,THURSDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.14149681435927533,0.26663948767938994,,0.3701,0.0852,0.9841,0.7824,0.0921,0.4,0.3448,0.3333,0.375,0.2836,0.3009,0.3961,0.0039,0.0077,0.3771,0.0884,0.9841,0.7909,0.0929,0.4028,0.3448,0.3333,0.375,0.29,0.3287,0.4127,0.0039,0.0081,0.3737,0.0852,0.9841,0.7853,0.0927,0.4,0.3448,0.3333,0.375,0.2885,0.3061,0.4032,0.0039,0.0078,,block of flats,0.3636,Panel,No,0.0,0.0,0.0,0.0,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
217593,0,Cash loans,F,N,Y,1,135000.0,622413.0,31909.5,495000.0,Family,Working,Higher education,Married,House / apartment,0.009334,-12173,-2792,-3020.0,-3047,,1,1,0,1,0,0,Medicine staff,3.0,2,2,FRIDAY,15,0,0,0,0,0,0,Medicine,,0.6645146914701847,0.6722428897082422,0.0186,0.0,0.9717,0.6124,0.003,0.0,0.069,0.0833,0.125,0.0604,0.0151,0.0198,0.0,0.0,0.0189,0.0,0.9717,0.6276,0.003,0.0,0.069,0.0833,0.125,0.0618,0.0165,0.0207,0.0,0.0,0.0187,0.0,0.9717,0.6176,0.003,0.0,0.069,0.0833,0.125,0.0615,0.0154,0.0202,0.0,0.0,reg oper account,block of flats,0.0172,"Stone, brick",No,0.0,0.0,0.0,0.0,-615.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
443419,0,Cash loans,M,N,N,0,202500.0,450000.0,21109.5,450000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.004849,-11101,-1536,-1918.0,-2703,,1,1,1,1,1,0,Sales staff,2.0,2,2,FRIDAY,19,1,1,0,1,1,0,Business Entity Type 3,0.21153067060565808,0.6196104616937121,0.3108182544189319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-447.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
163914,0,Cash loans,F,N,Y,0,171000.0,1125000.0,33025.5,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-19581,-1912,-2767.0,-3114,,1,1,0,1,0,0,,2.0,2,2,THURSDAY,13,0,0,0,0,0,0,Housing,0.776590206138425,0.687012848825162,0.7151031019926098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2301.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
189338,0,Cash loans,M,Y,Y,0,427500.0,900000.0,57649.5,900000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.028663,-17934,-2965,-3801.0,-1424,3.0,1,1,0,1,0,0,Managers,2.0,2,2,FRIDAY,9,0,1,1,0,1,1,Construction,,0.18325223444431835,0.4294236843421945,,0.1221,0.9816,,,0.16,0.1379,0.3333,,,,0.2183,,0.0769,,0.1267,0.9816,,,0.1611,0.1379,0.3333,,,,0.2274,,0.0814,,0.1221,0.9816,,,0.16,0.1379,0.3333,,,,0.2222,,0.0785,,block of flats,0.1884,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,5.0
252238,0,Cash loans,F,Y,Y,0,157500.0,906228.0,36067.5,810000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.007120000000000001,-17286,-5893,-9121.0,-836,9.0,1,1,0,1,0,0,Sales staff,2.0,2,2,FRIDAY,14,0,0,0,0,0,0,Self-employed,,0.26525634018619443,0.7121551551910698,0.0412,0.0303,0.9742,0.6464,,0.0,0.069,0.1667,,0.0256,0.0336,0.0189,,0.0176,0.042,0.0314,0.9742,0.6602,,0.0,0.069,0.1667,,0.0262,0.0367,0.0197,,0.0186,0.0416,0.0303,0.9742,0.6511,,0.0,0.069,0.1667,,0.0261,0.0342,0.0193,,0.0179,,block of flats,0.0247,"Stone, brick",No,5.0,1.0,5.0,1.0,-1754.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0
407917,0,Cash loans,M,N,Y,0,94500.0,331834.5,14746.5,252000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.025164,-22620,-243,-9935.0,-3948,,1,1,0,1,0,0,Security staff,2.0,2,2,MONDAY,7,0,0,0,0,0,0,School,,0.28306693069554445,0.5567274263630174,0.1474,0.0537,0.9866,0.8164,0.0496,0.16,0.1379,0.3333,0.375,0.0975,0.1202,0.1549,0.0,0.0,0.1502,0.0558,0.9866,0.8236,0.05,0.1611,0.1379,0.3333,0.375,0.0998,0.1313,0.1614,0.0,0.0,0.1489,0.0537,0.9866,0.8189,0.0499,0.16,0.1379,0.3333,0.375,0.0992,0.1223,0.1577,0.0,0.0,not specified,block of flats,0.149,Panel,No,2.0,0.0,2.0,0.0,-4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
377661,0,Cash loans,M,Y,N,0,315000.0,521280.0,28408.5,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0.04622,-8508,-376,-6814.0,-1172,11.0,1,1,0,1,0,0,Core staff,1.0,1,1,SUNDAY,13,0,1,1,0,0,0,Bank,0.2414121487280793,0.6865753870174477,0.520897599048938,,,0.9906,,,0.08,0.069,0.375,,,,,,,,,0.9906,,,0.0806,0.069,0.375,,,,,,,,,0.9906,,,0.08,0.069,0.375,,,,,,,,block of flats,0.0776,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0
366365,0,Cash loans,F,N,N,0,225000.0,298512.0,29655.0,270000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.072508,-21277,-1705,-795.0,-2117,,1,1,0,1,1,0,Sales staff,2.0,1,1,MONDAY,14,0,0,0,0,0,0,Trade: type 3,,0.6958535566906258,0.324891229465852,0.0567,0.0652,0.9767,0.6804,0.0282,0.0,0.1034,0.1667,0.2083,0.0,0.0462,0.0322,0.0,0.0,0.0578,0.0676,0.9767,0.6929,0.0285,0.0,0.1034,0.1667,0.2083,0.0,0.0505,0.0335,0.0,0.0,0.0573,0.0652,0.9767,0.6847,0.0284,0.0,0.1034,0.1667,0.2083,0.0,0.047,0.0328,0.0,0.0,reg oper account,block of flats,0.0402,"Stone, brick",No,0.0,0.0,0.0,0.0,-1447.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,1.0
